"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","390490034","1","8","ppb","8","Fairgrounds","24","100.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
"01/02/2020","AQS","390490034","1","16","ppb","15","Fairgrounds","24","100.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
"01/03/2020","AQS","390490034","1","24","ppb","23","Fairgrounds","24","100.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
"01/04/2020","AQS","390490034","1","6","ppb","6","Fairgrounds","24","100.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
"01/05/2020","AQS","390490034","1","10","ppb","9","Fairgrounds","24","100.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
"01/06/2020","AQS","390490034","1","24","ppb","23","Fairgrounds","21","88.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
"01/07/2020","AQS","390490034","1","35","ppb","33","Fairgrounds","24","100.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
"01/30/2020","AQS","390490034","1","9","ppb","8","Fairgrounds","24","100.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
"01/31/2020","AQS","390490034","1","24","ppb","23","Fairgrounds","24","100.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
"02/01/2020","AQS","390490034","1","22","ppb","21","Fairgrounds","24","100.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
"02/02/2020","AQS","390490034","1","10","ppb","9","Fairgrounds","24","100.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
"02/03/2020","AQS","390490034","1","30","ppb","28","Fairgrounds","24","100.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
"02/04/2020","AQS","390490034","1","16","ppb","15","Fairgrounds","22","92.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
"02/05/2020","AQS","390490034","1","6","ppb","6","Fairgrounds","24","100.0000","42602","Nitrogen dioxide (NO2)","18140","Columbus, OH","39","Ohio","049","Franklin","40.002707","-82.994424"
